"Path","Value"
"Microsoft.PowerShell.Core\Registry::HKEY_CURRENT_USER\SOFTWARE\SolidWorks\AllowList\3Dfx Interactive Inc.","16"
"Microsoft.PowerShell.Core\Registry::HKEY_CURRENT_USER\SOFTWARE\SolidWorks\AllowList\3Dlabs","570490944"
"Microsoft.PowerShell.Core\Registry::HKEY_CURRENT_USER\SOFTWARE\SolidWorks\AllowList\3Dlabs\GLINT MX + GLINT Delta","35782736"
"Microsoft.PowerShell.Core\Registry::HKEY_CURRENT_USER\SOFTWARE\SolidWorks\AllowList\3Dlabs\GLINT MX + GLINT Gamma","35782736"
"Microsoft.PowerShell.Core\Registry::HKEY_CURRENT_USER\SOFTWARE\SolidWorks\AllowList\3Dlabs\GLINT R3 PT","50331712"
"Microsoft.PowerShell.Core\Registry::HKEY_CURRENT_USER\SOFTWARE\SolidWorks\AllowList\3Dlabs\GLINT R3 PT + GLINT Gamma","587202624"
"Microsoft.PowerShell.Core\Registry::HKEY_CURRENT_USER\SOFTWARE\SolidWorks\AllowList\3Dlabs\PERMEDIA3","50331712"
"Microsoft.PowerShell.Core\Registry::HKEY_CURRENT_USER\SOFTWARE\SolidWorks\AllowList\3Dlabs\Wildcat Realizm","0"
"Microsoft.PowerShell.Core\Registry::HKEY_CURRENT_USER\SOFTWARE\SolidWorks\AllowList\3Dlabs\Wildcat VP","33619968"
"Microsoft.PowerShell.Core\Registry::HKEY_CURRENT_USER\SOFTWARE\SolidWorks\AllowList\3Dlabs\Wildcat VP\V001_FG_K4100121053010330_X4100121053010330","33554432"
"Microsoft.PowerShell.Core\Registry::HKEY_CURRENT_USER\SOFTWARE\SolidWorks\AllowList\AccelGraphics, Inc.","18874368"
"Microsoft.PowerShell.Core\Registry::HKEY_CURRENT_USER\SOFTWARE\SolidWorks\AllowList\AccelGraphics, Inc.\AccelECLIPSE/REALimage Technology","18874880"
"Microsoft.PowerShell.Core\Registry::HKEY_CURRENT_USER\SOFTWARE\SolidWorks\AllowList\Advanced Micro Devices","1379929220"
"Microsoft.PowerShell.Core\Registry::HKEY_CURRENT_USER\SOFTWARE\SolidWorks\AllowList\Advanced Micro Devices\FirePro","2214592516"
"Microsoft.PowerShell.Core\Registry::HKEY_CURRENT_USER\SOFTWARE\SolidWorks\AllowList\Advanced Micro Devices\FirePro\V001_OG_V217867","2214592517"
"Microsoft.PowerShell.Core\Registry::HKEY_CURRENT_USER\SOFTWARE\SolidWorks\AllowList\Advanced Micro Devices\FirePro\V002_OG_V4211931","67108869"
"Microsoft.PowerShell.Core\Registry::HKEY_CURRENT_USER\SOFTWARE\SolidWorks\AllowList\Advanced Micro Devices\MOBILITY FirePro","2214592516"
"Microsoft.PowerShell.Core\Registry::HKEY_CURRENT_USER\SOFTWARE\SolidWorks\AllowList\Advanced Micro Devices\MOBILITY FirePro\V001_OG_V217867","2214592517"
"Microsoft.PowerShell.Core\Registry::HKEY_CURRENT_USER\SOFTWARE\SolidWorks\AllowList\Advanced Micro Devices\MOBILITY FirePro\V002_OG_V4211931","67108869"
"Microsoft.PowerShell.Core\Registry::HKEY_CURRENT_USER\SOFTWARE\SolidWorks\AllowList\Advanced Micro Devices\MOBILITY Radeon","2214592644"
"Microsoft.PowerShell.Core\Registry::HKEY_CURRENT_USER\SOFTWARE\SolidWorks\AllowList\Advanced Micro Devices\MOBILITY Radeon\V001_OG_V206471","2214592645"
"Microsoft.PowerShell.Core\Registry::HKEY_CURRENT_USER\SOFTWARE\SolidWorks\AllowList\Advanced Micro Devices\MOBILITY Radeon\V002_OG_V4211931","67108997"
"Microsoft.PowerShell.Core\Registry::HKEY_CURRENT_USER\SOFTWARE\SolidWorks\AllowList\Advanced Micro Devices\Radeon","2214592644"
"Microsoft.PowerShell.Core\Registry::HKEY_CURRENT_USER\SOFTWARE\SolidWorks\AllowList\Advanced Micro Devices\Radeon\V001_OG_V206471","2214592645"
"Microsoft.PowerShell.Core\Registry::HKEY_CURRENT_USER\SOFTWARE\SolidWorks\AllowList\Advanced Micro Devices\Radeon\V002_OG_V4211931","67108997"
"Microsoft.PowerShell.Core\Registry::HKEY_CURRENT_USER\SOFTWARE\SolidWorks\AllowList\ATI Technologies Inc.","1379929220"
"Microsoft.PowerShell.Core\Registry::HKEY_CURRENT_USER\SOFTWARE\SolidWorks\AllowList\ATI Technologies Inc.\Fire GL","1375732736"
"Microsoft.PowerShell.Core\Registry::HKEY_CURRENT_USER\SOFTWARE\SolidWorks\AllowList\ATI Technologies Inc.\Fire GL\V001_OG_A144140","1032"
"Microsoft.PowerShell.Core\Registry::HKEY_CURRENT_USER\SOFTWARE\SolidWorks\AllowList\ATI Technologies Inc.\Fire GL\V002_OG_A154777","1036"
"Microsoft.PowerShell.Core\Registry::HKEY_CURRENT_USER\SOFTWARE\SolidWorks\AllowList\ATI Technologies Inc.\Fire GL2","33555460"
"Microsoft.PowerShell.Core\Registry::HKEY_CURRENT_USER\SOFTWARE\SolidWorks\AllowList\ATI Technologies Inc.\Fire GL23","33555460"
"Microsoft.PowerShell.Core\Registry::HKEY_CURRENT_USER\SOFTWARE\SolidWorks\AllowList\ATI Technologies Inc.\Fire GL3","33555460"
"Microsoft.PowerShell.Core\Registry::HKEY_CURRENT_USER\SOFTWARE\SolidWorks\AllowList\ATI Technologies Inc.\Fire GL4","33555460"
"Microsoft.PowerShell.Core\Registry::HKEY_CURRENT_USER\SOFTWARE\SolidWorks\AllowList\ATI Technologies Inc.\Fire GL8700","33555456"
"Microsoft.PowerShell.Core\Registry::HKEY_CURRENT_USER\SOFTWARE\SolidWorks\AllowList\ATI Technologies Inc.\Fire GL8800","33555456"
"Microsoft.PowerShell.Core\Registry::HKEY_CURRENT_USER\SOFTWARE\SolidWorks\AllowList\ATI Technologies Inc.\FireGL","2214593544"
"Microsoft.PowerShell.Core\Registry::HKEY_CURRENT_USER\SOFTWARE\SolidWorks\AllowList\ATI Technologies Inc.\FireGL\V001_OG_A154777","2214593548"
"Microsoft.PowerShell.Core\Registry::HKEY_CURRENT_USER\SOFTWARE\SolidWorks\AllowList\ATI Technologies Inc.\FireGL\V002_OG_A205884","2214593540"
"Microsoft.PowerShell.Core\Registry::HKEY_CURRENT_USER\SOFTWARE\SolidWorks\AllowList\ATI Technologies Inc.\FireGL\V003_OG_A217867","2214592516"
"Microsoft.PowerShell.Core\Registry::HKEY_CURRENT_USER\SOFTWARE\SolidWorks\AllowList\ATI Technologies Inc.\FireGL\V004_OG_V206471","2248147973"
"Microsoft.PowerShell.Core\Registry::HKEY_CURRENT_USER\SOFTWARE\SolidWorks\AllowList\ATI Technologies Inc.\FireGL\V005_OG_V217165","2214593541"
"Microsoft.PowerShell.Core\Registry::HKEY_CURRENT_USER\SOFTWARE\SolidWorks\AllowList\ATI Technologies Inc.\FireGL\V006_OG_V217867","2214592517"
"Microsoft.PowerShell.Core\Registry::HKEY_CURRENT_USER\SOFTWARE\SolidWorks\AllowList\ATI Technologies Inc.\FireGL\V007_OG_V4211931","67108869"
"Microsoft.PowerShell.Core\Registry::HKEY_CURRENT_USER\SOFTWARE\SolidWorks\AllowList\ATI Technologies Inc.\FirePro","67108864"
"Microsoft.PowerShell.Core\Registry::HKEY_CURRENT_USER\SOFTWARE\SolidWorks\AllowList\ATI Technologies Inc.\MOBILITY FireGL","1442841600"
"Microsoft.PowerShell.Core\Registry::HKEY_CURRENT_USER\SOFTWARE\SolidWorks\AllowList\ATI Technologies Inc.\MOBILITY FireGL\V001_OG_A144140","2214593544"
"Microsoft.PowerShell.Core\Registry::HKEY_CURRENT_USER\SOFTWARE\SolidWorks\AllowList\ATI Technologies Inc.\MOBILITY FireGL\V002_OG_A154777","2214593548"
"Microsoft.PowerShell.Core\Registry::HKEY_CURRENT_USER\SOFTWARE\SolidWorks\AllowList\ATI Technologies Inc.\MOBILITY FireGL\V003_OG_A205884","2214593540"
"Microsoft.PowerShell.Core\Registry::HKEY_CURRENT_USER\SOFTWARE\SolidWorks\AllowList\ATI Technologies Inc.\MOBILITY FireGL\V004_OG_A217867","2214592516"
"Microsoft.PowerShell.Core\Registry::HKEY_CURRENT_USER\SOFTWARE\SolidWorks\AllowList\ATI Technologies Inc.\MOBILITY FireGL\V005_OG_V206471","2248147973"
"Microsoft.PowerShell.Core\Registry::HKEY_CURRENT_USER\SOFTWARE\SolidWorks\AllowList\ATI Technologies Inc.\MOBILITY FireGL\V006_OG_V217165","2214593541"
"Microsoft.PowerShell.Core\Registry::HKEY_CURRENT_USER\SOFTWARE\SolidWorks\AllowList\ATI Technologies Inc.\MOBILITY FireGL\V007_OG_V217867","2214592517"
"Microsoft.PowerShell.Core\Registry::HKEY_CURRENT_USER\SOFTWARE\SolidWorks\AllowList\ATI Technologies Inc.\MOBILITY FireGL\V008_OG_V4211931","67108869"
"Microsoft.PowerShell.Core\Registry::HKEY_CURRENT_USER\SOFTWARE\SolidWorks\AllowList\ATI Technologies Inc.\MOBILITY FirePro","2214592516"
"Microsoft.PowerShell.Core\Registry::HKEY_CURRENT_USER\SOFTWARE\SolidWorks\AllowList\ATI Technologies Inc.\MOBILITY FirePro\V001_OG_V217867","2214592517"
"Microsoft.PowerShell.Core\Registry::HKEY_CURRENT_USER\SOFTWARE\SolidWorks\AllowList\ATI Technologies Inc.\MOBILITY FirePro\V002_OG_V4211931","67108869"
"Microsoft.PowerShell.Core\Registry::HKEY_CURRENT_USER\SOFTWARE\SolidWorks\AllowList\ATI Technologies Inc.\MOBILITY Radeon","1379929220"
"Microsoft.PowerShell.Core\Registry::HKEY_CURRENT_USER\SOFTWARE\SolidWorks\AllowList\ATI Technologies Inc.\MOBILITY Radeon\V001_OG_X206471","2214593668"
"Microsoft.PowerShell.Core\Registry::HKEY_CURRENT_USER\SOFTWARE\SolidWorks\AllowList\ATI Technologies Inc.\MOBILITY Radeon\V002_OG_V206471","2214593669"
"Microsoft.PowerShell.Core\Registry::HKEY_CURRENT_USER\SOFTWARE\SolidWorks\AllowList\ATI Technologies Inc.\MOBILITY Radeon\V003_OG_X217976","2214592644"
"Microsoft.PowerShell.Core\Registry::HKEY_CURRENT_USER\SOFTWARE\SolidWorks\AllowList\ATI Technologies Inc.\MOBILITY Radeon\V004_OG_V217976","2214592645"
"Microsoft.PowerShell.Core\Registry::HKEY_CURRENT_USER\SOFTWARE\SolidWorks\AllowList\ATI Technologies Inc.\MOBILITY Radeon\V005_OG_V4211931","67108997"
"Microsoft.PowerShell.Core\Registry::HKEY_CURRENT_USER\SOFTWARE\SolidWorks\AllowList\ATI Technologies Inc.\Radeon","1379927172"
"Microsoft.PowerShell.Core\Registry::HKEY_CURRENT_USER\SOFTWARE\SolidWorks\AllowList\ATI Technologies Inc.\Radeon\V001_OG_A122345","1379927044"
"Microsoft.PowerShell.Core\Registry::HKEY_CURRENT_USER\SOFTWARE\SolidWorks\AllowList\ATI Technologies Inc.\Radeon\V002_OG_A132454","1379927172"
"Microsoft.PowerShell.Core\Registry::HKEY_CURRENT_USER\SOFTWARE\SolidWorks\AllowList\ATI Technologies Inc.\Radeon\V003_OG_A154332","1375732868"
"Microsoft.PowerShell.Core\Registry::HKEY_CURRENT_USER\SOFTWARE\SolidWorks\AllowList\ATI Technologies Inc.\Radeon\V004_OG_X206471","2214593668"
"Microsoft.PowerShell.Core\Registry::HKEY_CURRENT_USER\SOFTWARE\SolidWorks\AllowList\ATI Technologies Inc.\Radeon\V005_OG_V206471","2214593669"
"Microsoft.PowerShell.Core\Registry::HKEY_CURRENT_USER\SOFTWARE\SolidWorks\AllowList\ATI Technologies Inc.\Radeon\V006_OG_X217976","2214592644"
"Microsoft.PowerShell.Core\Registry::HKEY_CURRENT_USER\SOFTWARE\SolidWorks\AllowList\ATI Technologies Inc.\Radeon\V007_OG_V217976","2214592645"
"Microsoft.PowerShell.Core\Registry::HKEY_CURRENT_USER\SOFTWARE\SolidWorks\AllowList\ATI Technologies Inc.\Radeon\V008_OG_V4211931","67108997"
"Microsoft.PowerShell.Core\Registry::HKEY_CURRENT_USER\SOFTWARE\SolidWorks\AllowList\ATI Technologies Inc.\Radeon (TM) Pro WX","67108864"
"Microsoft.PowerShell.Core\Registry::HKEY_CURRENT_USER\SOFTWARE\SolidWorks\AllowList\ATI Technologies Inc.\Radeon Pro WX","67108864"
"Microsoft.PowerShell.Core\Registry::HKEY_CURRENT_USER\SOFTWARE\SolidWorks\AllowList\ATI Technologies Inc.\Rage","16"
"Microsoft.PowerShell.Core\Registry::HKEY_CURRENT_USER\SOFTWARE\SolidWorks\AllowList\Current","38801409"
"Microsoft.PowerShell.Core\Registry::HKEY_CURRENT_USER\SOFTWARE\SolidWorks\AllowList\DATE","20231114"
"Microsoft.PowerShell.Core\Registry::HKEY_CURRENT_USER\SOFTWARE\SolidWorks\AllowList\Diamond Multimedia","16"
"Microsoft.PowerShell.Core\Registry::HKEY_CURRENT_USER\SOFTWARE\SolidWorks\AllowList\Diamond Multimedia\Fire GL1","16"
"Microsoft.PowerShell.Core\Registry::HKEY_CURRENT_USER\SOFTWARE\SolidWorks\AllowList\ELSA","50331648"
"Microsoft.PowerShell.Core\Registry::HKEY_CURRENT_USER\SOFTWARE\SolidWorks\AllowList\Evans & Sutherland","16"
"Microsoft.PowerShell.Core\Registry::HKEY_CURRENT_USER\SOFTWARE\SolidWorks\AllowList\Gl2Shaders","0"
"Microsoft.PowerShell.Core\Registry::HKEY_CURRENT_USER\SOFTWARE\SolidWorks\AllowList\Gl2Shaders\NV25","1"
"Microsoft.PowerShell.Core\Registry::HKEY_CURRENT_USER\SOFTWARE\SolidWorks\AllowList\Gl2Shaders\NV25\Quadro4 700 GoGL","1"
